Дата	Количество	Сумма	Наименование
2025-05-18 22:55:00	1	149,79	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2025-05-18 22:55:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2025-05-28 22:01:00	1	185,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ИМПЕРИЯ 10ШТ БОКС
2025-05-28 22:01:00	1	109,98	ШОКОЛАД РОССИЯ ЩЕДРАЯ ДУША ТЕМНЫЙ РОССИЙСКИЙ 82Г
2025-05-28 22:01:00	1	209,9	ШОКОЛАД RITTER SPORT МОЛОЧНЫЙ КАРАМЕЛЬНЫЙ МУСС 100Г (1/11)
2025-05-28 22:01:00	1	319,9	КОНФЕТЫ КОРКУНОВ АССОРТИ ТЕМНЫЙ И МОЛОЧНЫЙ ШОКОЛАД 110Г
2025-05-28 22:01:00	1	239,9	ШОКОЛАД RITTER SPORT EXTRA NUT МОЛОЧНЫЙ ЦЕЛЬНЫЙ ЛЕСН. ОРЕХ 100Г (1/10)
2025-06-09 22:16:00	1	149,99	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2025-06-09 22:16:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2025-06-22 21:40:00	1	124,75	ШОКОЛАД ТЕМНЫЙ РОССИЯ ЩЕДРАЯ ДУША ЦЕЛЬНЫЙ ФУНДУК 85Г
2025-06-22 21:40:00	1	167,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-07-03 22:25:00	1	139,07	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2025-07-03 22:25:00	1	222,51	ЯЙЦО ПЕРЕПЕЛИНОЕ ЛПХ ЛОБКО 18ШТ
2025-07-13 19:38:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-07-13 19:38:00	1	99,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-07-22 21:47:00	1	212,99	ЯЙЦО ПЕРЕПЕЛИНОЕ ГКФХ ПОЛЯКОВ 18ШТ
2025-07-22 21:47:00	1	147,99	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2025-07-22 21:47:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-07-30 21:29:00	25	1874,43	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-07-30 21:29:00	1	227,8	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-08-10 22:22:00	1	212,99	ЯЙЦО ПЕРЕПЕЛИНОЕ ГКФХ ПОЛЯКОВ 18ШТ
2025-08-10 22:22:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-08-19 21:46:00	1	169,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ИВА 10ШТ БОКС
2025-08-19 21:46:00	2	479,98	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-08-28 20:49:00	1	99,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-08-28 20:49:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-08-30 10:36:00	1	659,99	КОНФЕТЫ ЧЕРНОСЛИВ СЛАДКИЙ РАЙ ПРИМОРЬЯ С ГРЕЦ.ОРЕХОМ В ШОК. 200Г (1/10)
2025-09-04 19:54:00	1	224,37	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-09-04 19:54:00	1	73,85	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-09-18 15:13:00	1	89,99	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 10ШТ ПЛЕНКА
2025-09-18 15:13:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-09-28 18:49:00	1	65,9	ПЕЧЕНЬЕ ЗАТЯЖНОЕ ГУТЭ ОРИОН 72Г (1/20)
2025-09-28 18:49:00	2	197,93	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ИВА 10ШТ БОКС
2025-09-28 18:49:00	2	431,87	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-10-05 17:01:00	1	212,99	ЯЙЦО ПЕРЕПЕЛИНОЕ ГКФХ ПОЛЯКОВ 18ШТ
2025-10-05 17:01:00	1	138,99	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 10ШТ ПЛЕНКА
2025-10-05 17:01:00	2	131,8	ПЕЧЕНЬЕ ЗАТЯЖНОЕ ГУТЭ ОРИОН 72Г (1/20)
2025-10-16 22:24:00	2	209,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-10-16 22:24:00	1	339,99	ШОКОЛАД ГОРЬКИЙ 60% КАКАО CREA 100Г
2025-10-16 22:24:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-10-25 16:20:00	2	239,8	ПЕЧЕНЬЕ ОРИОН GOUTE COFFEE 144Г
2025-10-25 16:20:00	2	239,8	ПЕЧЕНЬЕ ОРИОН GOUTE 144Г
2025-10-25 16:20:00	2	217,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-11-13 21:20:00	1	136,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-12-02 19:00:00	1	136,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-12-13 16:25:00	1	87,99	ПЕЧЕНЬЕ ЗАТЯЖНОЕ ГУТЭ ОРИОН 72Г (1/20)
2025-12-13 16:25:00	1	109,99	ПЕЧЕНЬЕ ЗАТЯЖНОЕ ОРИОН GOUTE COFFEE 72Г
2025-12-13 16:25:00	2	299,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-12-23 21:37:00	1	216,84	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2025-12-23 21:37:00	2	307,19	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ОТ ПРИМОРСКИХ КУР 10ШТ КОНТ.
2026-01-02 13:52:00	2	299,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2026-01-10 22:15:00	1	235,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-01-17 16:11:00	2	359,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 10ШТ БОКС
2026-01-17 16:11:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2026-01-25 15:52:00	1	169,02	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-02-01 17:40:00	1	178,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-02-01 17:40:00	1	339,99	ОРЕХ ГРЕЦКИЙ АЛИЕВ В СКОРЛУПЕ 500Г
2026-02-09 22:50:00	1	207,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-02-09 22:50:00	1	129,9	ШОКОЛАД ГОРЬКИЙ 70% РОССИЯ ЩЕДРАЯ ДУША РОССИЙСКИЙ 75Г
2026-02-19 20:53:00	1	235,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-02-19 20:53:00	1	159,9	ШОКОЛАД РОССИЯ ЩЕДРАЯ ДУША ТЕМНЫЙ РОССИЙСКИЙ 75Г
2026-02-28 13:50:00	1	129,9	ПЕЧЕНЬЕ ОРИОН GOUTE COFFEE 144Г
2026-02-28 13:50:00	1	216,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ОТ ПРИМОРСКИХ КУР 10ШТ КОНТ.
2026-03-01 21:45:00	1	239,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2026-03-01 21:45:00	1	159,9	ШОКОЛАД РОССИЯ ЩЕДРАЯ ДУША ТЕМНЫЙ ПУТЕШЕСТВИЕ 75Г
2026-03-01 21:45:00	1	254,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-03-01 21:45:00	1	159,9	ШОКОЛАД ГОРЬКИЙ 70% РОССИЯ ЩЕДРАЯ ДУША РОССИЙСКИЙ 75Г
2026-03-09 14:44:00	1	277,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-03-09 14:44:00	1	222,37	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2026-03-16 13:25:00	1	304,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С КЛЮКВОЙ И МИНДАЛЕМ 100Г (1/17)
2026-03-19 22:17:00	1	299,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-03-19 22:17:00	1	159,9	ШОКОЛАД РОССИЯ ЩЕДРАЯ ДУША ТЕМНЫЙ РОССИЙСКИЙ 75Г
2026-03-29 22:24:00	1	266,76	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2026-03-29 22:24:00	1	302,33	ОРЕХ ГРЕЦКИЙ АЛИЕВ В СКОРЛУПЕ 500Г
2026-03-29 22:24:00	1	213,41	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
