Дата	Количество	Сумма	Наименование
2023-08-06 16:50:00	1	108,18	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-08-12 21:00:00	1	109,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-08-22 17:33:00	1	129,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ИВА 10ШТ БОКС
2023-08-31 20:44:00	2	239,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-09-05 21:24:00	1	109,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-09-14 21:26:00	1	110,64	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-09-14 21:26:00	1	55,32	ВАФЕЛЬНЫЙ ХЛЕБ ПРОСТОЙ ЕЛИЗАВЕТА 80Г
2023-09-20 20:57:00	1	119,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-10-03 21:11:00	1	119,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-10-10 21:39:00	2	279,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-10-25 15:33:00	2	224,14	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-11-05 21:01:00	1	146,59	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-11-14 17:05:00	1	149,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-11-26 18:49:00	1	214,64	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2023-11-26 18:49:00	1	55,77	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2023-11-30 21:30:00	2	319,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-12-07 19:37:00	1	177,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-12-14 19:29:00	1	171,34	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-12-23 18:48:00	1	177,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2023-12-29 15:24:00	1	359,9	КОНФЕТЫ МЕРСИ 8 ВИДОВ ШОКОЛАДА 250Г (1/10)
2023-12-31 19:51:00	1	429,9	КОНФЕТЫ КОРКУНОВ АССОРТИ ТЕМНЫЙ И МОЛОЧНЫЙ ШОКОЛАД 165Г
2023-12-31 19:51:00	1	166,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-01-06 17:20:00	1	149,9	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ПФ ФЕДОРОВСКОЕ 9ШТ БОКС
2024-01-09 11:59:00	16	2878,4	ШОКОЛАД ТЕМНЫЙ МЕРСИ МАРЦИПАН 112Г
2024-01-10 21:50:00	1	177,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-01-18 22:13:00	2	333,96	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
